"http://www.imdb.com/title/tt0247882","Forensic Files","","","8.8","2441","2002-03-23"
"http://www.imdb.com/title/tt0249327","Yu-Gi-Oh!","","","7.0","13382","2002-03-03"
"http://www.imdb.com/title/tt0257106","Scary Movie 2","","","5.3","126177","2001-07-17"
"http://www.imdb.com/title/tt0257106","Scary Movie 2","","","5.3","126177","2001-07-17"
"http://www.imdb.com/title/tt0264464","Catch Me If You Can","","","8.1","594408","2010-06-05"
"http://www.imdb.com/title/tt0267913","Scooby-Doo","","","5.0","76386","2002-06-26"
"http://www.imdb.com/title/tt0275847","Lilo & Stitch","","","7.2","128337","2006-10-12"
"http://www.imdb.com/title/tt0285341","The Bernie Mac Show","","","6.9","5771","2001-11-26"
"http://www.imdb.com/title/tt0285462","Boat Trip","","","4.9","27430","2003-03-27"
"http://www.imdb.com/title/tt0285462","Boat Trip","","","4.9","27430","2003-03-27"
"http://www.imdb.com/title/tt0286112","Siu Lam juk kau","","","7.3","61016","2004-01-06"
"http://www.imdb.com/title/tt0290223","Inuyasha","","","7.9","11584","2006-02-06"
"http://www.imdb.com/title/tt0290988","Trailer Park Boys","","Three petty felons have a documentary made about their life in a trailer park.","8.4","27997","2004-01-21"
"http://www.imdb.com/title/tt0293815","Friday After Next","","","5.8","20876","2002-11-20"
"http://www.imdb.com/title/tt0293815","Friday After Next","","","5.8","20876","2002-11-20"
"http://www.imdb.com/title/tt0295701","xXx","","","5.8","153961","2005-02-04"
"http://www.imdb.com/title/tt0295701","xXx","","","5.8","153961","2005-02-04"
"http://www.imdb.com/title/tt0299977","Ying xiong","","","7.9","155849","2006-03-31"
"http://www.imdb.com/title/tt0314353","Tears of the Sun","","","6.6","98416","2006-04-01"
"http://www.imdb.com/title/tt0318155","Looney Tunes: Back in Action","","","5.7","26313","2004-03-08"
"http://www.imdb.com/title/tt0322330","Freaky Friday","","","6.1","103333","2005-11-21"
"http://www.imdb.com/title/tt0322802","Jackass: The Movie","","","6.6","71064","2006-09-03"
"http://www.imdb.com/title/tt0322802","Jackass: The Movie","","","6.6","71064","2006-09-03"
